evidence_id,snapshot_ref,category,query_id,turn_id,extracted_fields,summary
e001,.observability/snapshots/1778139357518-371eb4fb-1672-4ef7-8c8b-ba70803a205d-state.snapshot.before_turn.json,state_before_turn,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,messages_count;turn_count;transition;max_output_tokens_recovery_count;has_attempted_reactive_compact;max_output_tokens_override;stop_hook_active;auto_compact_tracking,before-turn snapshot
e002,.observability/snapshots/1778139357525-6cf76e43-2537-4e64-9d78-5916415f9f18-messages.compact_boundary.applied-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e003,.observability/snapshots/1778139357525-97f6a5a0-18e2-4158-bc9a-fc1e5820e717-messages.compact_boundary.applied-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e004,.observability/snapshots/1778139357542-63b55645-91ec-4d79-9b13-b85c864526d4-messages.tool_result_budget.applied-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e005,.observability/snapshots/1778139357542-8fd655ac-e307-4e50-ac9d-8a700a483746-messages.tool_result_budget.applied-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e006,.observability/snapshots/1778139357552-1759d3c0-2086-4621-ad85-a4619a3958be-messages.history_snip.applied-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e007,.observability/snapshots/1778139357552-9692298a-21f0-4161-8046-25695eddde87-messages.history_snip.applied-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e008,.observability/snapshots/1778139357557-baa53260-5d84-4fb7-bb45-956841f1d0f0-messages.microcompact.applied-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e009,.observability/snapshots/1778139357557-cf4b1785-bfcb-4e8f-80bc-713d1452aa44-messages.microcompact.applied-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e010,.observability/snapshots/1778139357561-3dcbbd1d-d7f6-4164-a21a-4c00ab98a40b-messages.context_collapse.applied-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e011,.observability/snapshots/1778139357561-fb9f86a2-caa6-49e5-8e7b-bf0856618364-messages.context_collapse.applied-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e012,.observability/snapshots/1778139357567-feebef23-abdb-4af2-aa40-09cdb254f00c-messages.preprocess.completed-before.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e013,.observability/snapshots/1778139357568-f9454aa0-88d6-4194-84ba-087292a8b0dd-messages.preprocess.completed-after.json,messages_stage,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,,messages-stage snapshot with tool_result history
e014,.observability/snapshots/1778139357574-dc832c52-1f39-4ee9-9fd1-03b008c3a764-request.json,request,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,provider;querySource;model;systemPrompt;messages;thinkingConfig;toolNames,request
e015,.observability/snapshots/1778139367106-aef0d55a-25f9-40e6-b328-ca6ca68ed4f6-response.json,response,a88470ae-eb8f-4275-a414-81783f46558f,turn-1,querySource;model;assistantMessages;toolUseBlocks,response snapshot with assistant tool_use blocks
